A1C_00015 A1C_00020
A1C_06115 A1C_00930
A1C_06115 A1C_00380
A1C_06115 A1C_03030
A1C_06115 A1C_00955
A1C_06115 A1C_01610
A1C_06120 A1C_01615
A1C_06120 A1C_01945
A1C_06120 A1C_01610
A1C_06130 A1C_01935
A1C_06130 A1C_06435
A1C_06135 A1C_01615
A1C_06135 A1C_01945
A1C_06135 A1C_01610
A1C_06140 A1C_01610
A1C_06140 A1C_01945
A1C_06140 A1C_01615
A1C_06145 A1C_00370
A1C_06145 A1C_01370
A1C_06145 A1C_01945
A1C_06145 A1C_03015
A1C_06145 A1C_01615
A1C_06145 A1C_00930
A1C_06145 A1C_00380
A1C_06145 A1C_03030
A1C_06145 A1C_00955
A1C_06145 A1C_01610
A1C_06150 A1C_01615
A1C_06150 A1C_01945
A1C_06150 A1C_01610
A1C_06180 A1C_01920
A1C_06180 A1C_06540
A1C_06185 A1C_05000
A1C_06185 A1C_04580
A1C_06185 A1C_00255
A1C_06185 A1C_06190
A1C_06185 A1C_00260
A1C_06185 A1C_06200
A1C_06185 A1C_06195
A1C_06185 A1C_06205
A1C_06185 A1C_00250
A1C_06185 A1C_00265
A1C_06190 A1C_06195
A1C_06190 A1C_06205
A1C_06190 A1C_00250
A1C_06190 A1C_00265
A1C_06190 A1C_05000
A1C_06190 A1C_06200
A1C_06190 A1C_00260
A1C_06190 A1C_06185
A1C_06190 A1C_04580
A1C_06190 A1C_00255
A1C_06195 A1C_05000
A1C_06195 A1C_00255
A1C_06195 A1C_04580
A1C_06195 A1C_06190
A1C_06195 A1C_00260
A1C_06195 A1C_06200
A1C_06195 A1C_06185
A1C_06195 A1C_00250
A1C_06195 A1C_00265
A1C_06195 A1C_06205
A1C_06200 A1C_05000
A1C_06200 A1C_04580
A1C_06200 A1C_00255
A1C_06200 A1C_06190
A1C_06200 A1C_00260
A1C_06200 A1C_06185
A1C_06200 A1C_00250
A1C_06200 A1C_00265
A1C_06200 A1C_06205
A1C_06200 A1C_06195
A1C_06205 A1C_00250
A1C_06205 A1C_00265
A1C_06205 A1C_06195
A1C_06205 A1C_05000
A1C_06205 A1C_04580
A1C_06205 A1C_00255
A1C_06205 A1C_06190
A1C_06205 A1C_00260
A1C_06205 A1C_06200
A1C_06205 A1C_06185
A1C_06210 A1C_03755
A1C_06210 A1C_01890
A1C_06210 A1C_05635
A1C_06210 A1C_04135
A1C_06210 A1C_03605
A1C_06210 A1C_01300
A1C_06210 A1C_05770
A1C_06210 A1C_01295
A1C_06210 A1C_01885
A1C_06240 A1C_02925
A1C_06240 A1C_03060
A1C_06325 A1C_03175
A1C_06325 A1C_04875
A1C_06325 A1C_01770
A1C_06325 A1C_01765
A1C_06325 A1C_03900
A1C_06330 A1C_00095
A1C_06330 A1C_05305
A1C_06330 A1C_04325
A1C_06330 A1C_05815
A1C_06335 A1C_04005
A1C_06335 A1C_05345
A1C_06435 A1C_06130
A1C_06435 A1C_01935
A1C_06460 A1C_00300
A1C_06460 A1C_04885
A1C_06520 A1C_05770
A1C_06520 A1C_03995
A1C_06540 A1C_03755
A1C_06540 A1C_05820
A1C_06540 A1C_02825
A1C_06540 A1C_00650
A1C_06540 A1C_06015
A1C_06540 A1C_03370
A1C_06540 A1C_05635
A1C_06540 A1C_05130
A1C_06540 A1C_06180
A1C_06540 A1C_02765
A1C_06580 A1C_06585
A1C_06585 A1C_06580
A1C_06685 A1C_00565
A1C_06685 A1C_03295
A1C_06685 A1C_06690
A1C_06690 A1C_00565
A1C_06690 A1C_03295
A1C_06690 A1C_06685
A1C_06700 A1C_00450
A1C_06700 A1C_01355
A1C_06700 A1C_03150
A1C_06700 A1C_06035
A1C_06700 A1C_01225
A1C_06700 A1C_00500
A1C_06700 A1C_06740
A1C_06700 A1C_00540
A1C_06700 A1C_05860
A1C_06700 A1C_06050
A1C_06735 A1C_03540
A1C_06735 A1C_06005
A1C_06740 A1C_06050
A1C_06740 A1C_00500
A1C_06740 A1C_01225
A1C_06740 A1C_06700
A1C_06740 A1C_00540
A1C_06740 A1C_01355
A1C_06740 A1C_05860
A1C_06740 A1C_00450
A1C_06740 A1C_03150
A1C_06740 A1C_06035
A1C_06745 A1C_03130
A1C_06750 A1C_03130
A1C_06785 A1C_05775
A1C_06785 A1C_05945
A1C_06785 A1C_02720
A1C_06835 A1C_04625
A1C_06835 A1C_04615
A1C_06860 A1C_06880
A1C_06860 A1C_01265
A1C_06875 A1C_02570
A1C_06880 A1C_06860
A1C_06880 A1C_01265
